Filename	lab	bin_cloze	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
edin_abin1	edin	2	-0.14	-0.6	-0.72	-0.33	0.37	-0.58	-0.56	-0.47	0.00	-0.57	-0.35	-0.18	-0.61	-0.56	-0.33	0.11	-0.17	-0.26	-0.56	-0.21	0.4	0.29
edin_abin10	edin	95	-0.57	-0.64	-0.95	-0.65	-0.25	-1.27	-1.43	-1.06	-0.98	-1.21	-1.51	-1.04	-1.67	-1.89	-1.27	-0.99	-1.00	-1.7	-1.44	-1.37	-0.76	-1.02
edin_abin2	edin	15	0.36	-0.03	0.65	0.81	0.74	0.03	0.51	0.81	0.47	0.37	0.78	0.71	-0.27	0.69	0.32	0.33	0.03	0.06	0.11	0.53	0.6	0.13
edin_abin3	edin	26	-1.45	-1.47	-1.64	-0.58	-0.88	-1.51	-1.42	-1.01	-0.8	-0.96	-0.93	-0.77	-0.83	-1.14	-0.93	-0.33	-0.3	-0.13	-0.51	-0.56	0.67	-0.71
edin_abin4	edin	34	-0.14	-0.28	-0.82	-0.29	-0.29	-0.54	-0.43	-0.81	-0.85	-0.54	0.18	-0.5	0.32	0.52	-0.28	0.4	0.69	-0.02	-0.32	-0.2	0.31	0.47
edin_abin6	edin	56	0.58	-0.5	-1.16	-0.94	-0.91	-0.4	-0.92	-1.14	-1.00	-1.00	-0.96	-1.37	-0.77	-0.82	-0.94	-0.96	-0.37	-0.64	-1.13	-0.93	-0.45	-0.57
edin_abin7	edin	67	0.14	-0.51	-0.63	-0.12	-0.15	-0.82	-0.64	-0.47	-0.5	-1.04	-0.61	-0.58	-0.92	-1.04	-0.9	-0.87	-0.62	-0.76	-1.00	-0.91	-0.54	-0.41
edin_abin8	edin	75	-0.1	-0.72	-0.44	0.01	-0.03	-0.88	-0.75	-0.56	-0.56	-1.22	-1.03	-0.64	-1.51	-1.4	-1.32	-0.93	-0.89	-1.25	-1.42	-1.1	-0.44	-0.94
edin_abin9	edin	85	-0.83	-1.48	-1.62	-0.91	-0.59	-0.92	-1.38	-1.46	-1.49	-1.53	-1.01	-1.19	-1.36	-1.77	-1.61	-1.3	-0.9	-1.41	-1.56	-1.53	-0.89	-0.02
kent_abin1	kent	2	-0.33	-0.52	-0.4	0.05	0.43	-0.4	-0.48	-0.12	0.29	-0.59	-0.18	-0.11	-0.35	-0.28	-0.11	-0.04	-0.45	-0.29	-0.26	-0.15	-0.24	-0.05
