Filename	lab	bin_cloze	F7	F3	Fz	F4	F8	FC5	FC1	FC2	FC6	C3	Cz	C4	CP5	CP1	CP2	CP6	P7	P3	Pz	P4	P8	Oz
edin_nbin1	edin	2	-0.52	-0.49	-0.67	-0.87	-0.24	-0.82	-0.56	-0.73	-0.76	-0.73	-0.68	-0.69	-0.78	-0.19	-0.47	-0.64	-0.48	0.04	-0.22	-0.27	-0.17	-0.70
edin_nbin10	edin	96	-0.30	0.34	1.03	1.03	0.68	-0.15	1.27	1.52	0.75	1.17	1.94	1.56	0.95	1.98	1.95	1.35	0.52	2.12	2.01	2.23	1.89	1.08
edin_nbin2	edin	16	0.87	1.44	1.71	1.53	0.82	0.96	1.63	1.32	0.63	1.10	1.64	0.36	0.71	1.58	1.42	0.15	0.78	1.70	1.05	0.93	0.78	0.07
edin_nbin3	edin	27	0.17	-0.65	-0.83	-1.07	-0.03	-0.47	-0.84	-0.34	-0.45	-0.74	-0.22	-0.35	-0.76	0.05	0.11	-0.15	-0.86	0.47	0.08	0.07	-0.23	-0.29
edin_nbin4	edin	37	0.48	0.24	0.37	0.04	0.41	-0.05	0.56	0.61	0.26	0.92	1.15	0.73	0.30	1.11	1.17	0.88	0.63	1.48	1.32	1.25	0.65	0.73
edin_nbin5	edin	49	-0.90	-1.49	-1.83	-2.06	-2.03	-1.16	-1.48	-1.92	-2.51	-1.16	-1.56	-2.33	-0.97	0.23	-1.50	-2.25	-0.79	-0.61	-0.56	-1.12	-0.99	-0.67
edin_nbin6	edin	57	0.73	0.72	1.82	1.35	0.44	0.88	2.06	2.28	0.68	2.17	2.99	2.16	1.37	2.70	2.81	0.05	1.27	3.24	2.22	1.67	0.04	1.27
edin_nbin7	edin	66	0.65	1.10	2.01	1.44	0.76	0.46	1.62	1.37	0.94	1.79	1.15	0.92	1.07	1.84	1.00	1.70	0.80	1.22	1.35	0.41	0.97	0.71
edin_nbin8	edin	78	0.02	0.66	1.26	1.51	1.03	0.43	1.07	1.49	0.79	1.20	1.42	1.41	1.56	1.85	1.70	1.36	1.56	2.24	1.95	2.34	0.81	0.74
edin_nbin9	edin	89	0.63	1.45	2.15	1.69	0.51	0.90	2.31	2.17	1.32	1.63	2.22	1.85	1.04	2.41	2.16	1.72	1.01	2.32	2.05	2.19	1.60	0.99
kent_nbin1	kent	2	0.70	0.38	0.46	0.47	0.64	0.14	0.33	0.34	0.17	0.17	0.25	0.24	0.01	0.42	0.27	0.00	0.19	0.54	0.49	0.45	0.40	0.47
kent_nbin10	kent	96	0.34	0.79	1.19	1.13	0.71	0.26	1.37	1.60	0.67	0.95	1.52	1.32	0.59	1.58	1.63	1.03	0.69	1.43	1.61	1.71	1.32	1.25
kent_nbin2	kent	16	1.40	1.91	1.92	1.13	1.14	1.42	2.26	2.08	1.31	2.26	2.38	1.58	1.16	2.61	2.41	1.31	1.19	2.27	2.60	2.01	1.53	1.65
kent_nbin3	kent	27	-0.50	-0.26	-0.02	-0.07	0.22	-0.45	-0.33	-0.37	-0.80	-0.38	-0.25	0.21	-0.02	-0.01	-0.20	0.13	0.16	0.18	0.30	0.10	0.53	-0.44
kent_nbin4	kent	37	0.80	0.67	0.03	0.70	0.35	0.25	0.38	-0.18	0.62	0.26	0.09	0.22	0.13	0.09	-0.26	0.39	-0.05	0.40	0.09	0.68	0.42	-0.38
